sido_nm,sgg_nm,hadm_cd,atrctn_cnt,rstrt_cnt,shopng_cnt,residnt_cnt_sum,FILE_NAME,base_ymd
"강원도",강릉시,42150,308,4685,460,162905,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",고성군,42820,105,795,117,18628,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",동해시,42170,85,1929,247,68772,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",삼척시,42230,135,1597,209,45409,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",속초시,42210,79,2594,210,63203,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",양구군,42800,72,532,68,14731,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",양양군,42830,136,947,126,19462,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",영월군,42750,119,799,152,25832,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",원주시,42130,286,6544,553,267203,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",인제군,42810,121,970,123,20917,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",정선군,42770,135,1047,191,26840,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",철원군,42780,64,1102,138,32985,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",춘천시,42110,229,5584,456,229173,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",태백시,42190,68,1007,163,30523,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",평창군,42760,166,1306,150,30186,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",홍천군,42720,215,1573,211,49979,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",화천군,42790,96,677,89,15570,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"강원도",횡성군,42730,153,973,105,32481,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",가평군,41820,235,1759,211,45473,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",고양시 덕양구,41281,113,4323,410,351337,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",고양시 일산동구,41285,50,4183,315,247728,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",고양시 일산서구,41287,37,2513,298,245969,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",과천시,41290,44,489,48,45142,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",광명시,41210,28,2746,275,269537,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",광주시,41610,100,3946,371,291459,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",구리시,41310,34,2371,223,161552,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",군포시,41410,17,2508,296,235162,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",김포시,41570,63,4481,457,345690,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",남양주시,41360,188,6951,639,521159,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",동두천시,41250,64,1424,172,75796,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",부천시,41190,75,9380,977,730558,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",성남시 분당구,41135,29,5079,348,417115,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",성남시 수정구,41131,37,2391,262,214781,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
"경기도",성남시 중원구,41133,30,2671,271,185399,KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2019,20200214
